location,datetime,count
vrsic,2022-07-26,12
vrsic,2022-07-27,57
vrsic,2022-07-28,88
vrsic,2022-07-29,62
vrsic,2022-07-30,12
vrsic,2022-07-31,134
vrsic,2022-08-01,48
vrsic,2022-08-02,14
vrsic,2022-08-03,87
vrsic,2022-08-04,52
vrsic,2022-08-05,27
vrsic,2022-08-06,29
vrsic,2022-08-07,16
vrsic,2022-08-08,24
vrsic,2022-08-09,109
vrsic,2022-08-10,72
vrsic,2022-08-11,97
vrsic,2022-08-12,4
vrsic,2022-08-13,53
vrsic,2022-08-14,135
vrsic,2022-08-15,62
vrsic,2022-08-16,28
vrsic,2022-08-17,100
vrsic,2022-08-18,68
vrsic,2022-08-19,0
vrsic,2022-08-20,84
vrsic,2022-08-21,67
vrsic,2022-08-22,33
vrsic,2022-08-23,26
vrsic,2022-08-24,87
vrsic,2022-08-25,36
vrsic,2022-08-26,24
vrsic,2022-08-27,28
vrsic,2022-08-28,6
vrsic,2022-08-29,25
vrsic,2022-08-30,48
vrsic,2022-08-31,0
vrsic,2022-09-01,5
vrsic,2022-09-02,43
vrsic,2022-09-03,98
vrsic,2022-09-04,60
vrsic,2022-09-05,30
vrsic,2022-09-06,67
vrsic,2022-09-07,31
vrsic,2022-09-08,11
vrsic,2022-09-09,0
vrsic,2022-09-10,29
vrsic,2022-09-11,80
vrsic,2022-09-12,46
vrsic,2022-09-13,26
vrsic,2022-09-14,9
vrsic,2022-09-15,0
vrsic,2022-09-16,0
vrsic,2022-09-17,2
vrsic,2022-09-18,11
vrsic,2022-09-19,4
vrsic,2022-09-20,21
vrsic,2022-09-21,19
vrsic,2022-09-22,24
vrsic,2022-09-23,29
vrsic,2022-09-24,31
vrsic,2022-09-25,0
vrsic,2022-09-26,2
vrsic,2022-09-27,0
vrsic,2022-09-28,0
vrsic,2022-09-29,0
vrsic,2022-09-30,0
vrsic,2022-10-01,6
vrsic,2022-10-02,30
vrsic,2022-10-03,6
vrsic,2022-10-04,2
vrsic,2022-10-05,2
vrsic,2022-10-06,19
vrsic,2022-10-07,15
vrsic,2022-10-08,39
vrsic,2022-10-09,15
vrsic,2022-10-10,11
vrsic,2022-10-11,5
vrsic,2022-10-12,0
vrsic,2022-10-13,4
vrsic,2022-10-14,4
vrsic,2022-10-15,16
vrsic,2022-10-16,48
vrsic,2022-10-17,8
vrsic,2022-10-18,14
vrsic,2022-10-19,27
vrsic,2022-10-20,2
vrsic,2022-10-21,2
vrsic,2022-10-22,0
vrsic,2022-10-23,9
vrsic,2022-10-24,0
vrsic,2022-10-25,2
